,Dataset,Model scoring method,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
3,,SHAP FuzzyCMeans,0.2029426506396436,0.1321631436511361,0.184382597459254,0.0923275097262533,0.05085659601947985,0.03110929757775602,,,,,,,,,,,,
4,,PFBI KMeans,0.2619921887896253,0.2084602647447853,0.2384549671515062,0.1433791436488045,0.05251937149973187,0.09519406416554681,,,,,,,,,,,,
5,,SHAP KMeans,0.1659604578563992,0.1114890738813734,0.1436031911203603,0.053083593479015,0.01847970863683664,0.0214124176205343,,,,,,,,,,,,
2,new-thyroid,PBFI FuzzyCMeans,0.2481293166118904,0.4278988236678343,0.2741519377362798,0.002996400614786199,0.04682352136920932,,,,,,,,,,,,,
3,,SHAP FuzzyCMeans,0.1418530823501346,0.2454482695093079,0.09386678233643073,0.02206515326515308,0.03837748578894794,,,,,,,,,,,,,
4,,PFBI KMeans,0.2678891974539666,0.3452036445696347,0.2995588620240035,0.02678417549883555,0.06056412045355972,,,,,,,,,,,,,
5,,SHAP KMeans,0.03496953308094466,0.07586731566612577,0.04728610059491613,0.0002321975842798111,0.001383811069046361,,,,,,,,,,,,,
2,hayes-roth,PBFI FuzzyCMeans,0.6687377035377639,0.03419339618172983,0.1529308792770459,0.1441380210034603,,,,,,,,,,,,,,
3,,SHAP FuzzyCMeans,0.3702522065082852,0.03756212295260269,0.08970316692340446,0.08453155702673706,,,,,,,,,,,,,,
4,,PFBI KMeans,0.501053382821578,0.3153982593279472,0.1589666937923744,0.02458166405810036,,,,,,,,,,,,,,
5,,SHAP KMeans,0.6653125000000004,0.2603645833333323,0.09927083333333317,0,,,,,,,,,,,,,,
2,iris,PBFI FuzzyCMeans,0.2191885893526348,0.1256420173715351,0.3148075452224173,0.3403618480534128,,,,,,,,,,,,,,
3,,SHAP FuzzyCMeans,0.2048941059611846,0.1192049660160842,0.3484300759815603,0.4016197546581388,,,,,,,,,,,,,,
4,,PFBI KMeans,0.224407129987775,0.1244431620621009,0.3153927481590588,0.3357569597910656,,,,,,,,,,,,,,
5,,SHAP KMeans,0.132674074074074,0.04042222222222205,0.2485555555555556,0.2691925925925928,,,,,,,,,,,,,,
