,Dataset,Model scoring method,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
2,vehicle,PBFI FuzzyCMeans,0.06510121996263427,0.08392745228865106,0.08282142326080356,0.05035380344537569,0.009777734549514706,0.009371479447250948,0.0799743901389475,0.08092939833364243,0.07941054732514746,0.07018801800234192,0.05679284075119453,0.07813191596089729,0.06701106630697794,0.02214795897858068,0.01513299229603656,0.02190284279113352,0.0592134117134028,0.06781150444746731
3,,SHAP FuzzyCMeans,0.04072643923312258,0.07255199423149081,0.0632247981134122,0.02820161806593412,0.004718850562094291,0.004627338464036512,0.06219500509538549,0.06015786874988847,0.06148989378736088,0.05283551461225326,0.03320661068746654,0.05820223809213898,0.04805933439828114,0.01211459792764807,0.0285718700859803,0.02618514022248043,0.0703701768620375,0.1013144807254247
4,,PFBI KMeans,0.0606341829285147,0.08508732742168218,0.08061518871345456,0.0465668477503338,0.01029977776115511,0.0093839012284464,0.0768190125675652,0.07932339981904943,0.07563850056725417,0.07046403707446011,0.05542168154080362,0.0741247942096506,0.07036997822541753,0.0247545278439387,0.01451734256608788,0.02063179102342997,0.06725691701855462,0.07809079174020134
5,,SHAP KMeans,0.04370331340601939,0.1317514747869542,0.07406856968233944,0.02268959164052521,0.008629383812926819,0.00873613835420888,0.08005963119113005,0.07524151991810518,0.08137720659987628,0.0881158569789661,0.03795134709441163,0.07800562338917248,0.1055337245281804,0.01952671612959286,0.02971553978764027,0.04895646911392587,0.1359218765967622,0.1670970389136113
2,heart-statlog,PBFI FuzzyCMeans,0.02342085116342216,0.1519709448009548,0.07443141528276609,0.01117966473479918,0.001725630055873621,0.01232715930178521,0.07879158618665008,0.04653924699133614,0.1802912586321864,0.0459615395763955,0.07383389616134481,0.06804584020484063,0.2314809669076454,,,,,
3,,SHAP FuzzyCMeans,0.004396330779773852,0.05859893075572654,0.02055872448322325,0.002222973044605833,0.0009180693149431405,0.009234943879464389,0.04155032719638881,0.006937339910845123,0.07612071039382912,0.006668864670065559,0.02154073621709126,0.01741830896328788,0.1161565170545705,,,,,
4,,PFBI KMeans,0.02244877119620377,0.1550874753887587,0.07328379011595619,0.01038848880060231,0.001342186010595416,0.01422115635535086,0.03401546857969057,0.04408938655477927,0.1460551193252251,0.04703397614189357,0.07504542644276367,0.07411656027692437,0.3028721948112562,,,,,
5,,SHAP KMeans,0.003807157169109478,0.08163599335783052,0.02105079369003304,0.001637366846014437,0.001076852076334771,0.003639086302008765,0.01525840369307166,0.007672102427629278,0.08216744866515605,0.007022515784447488,0.02379840293518417,0.01716411920194525,0.3407383354012096,,,,,
2,echocardiogram,PBFI FuzzyCMeans,0.1701737436588358,0.3832854906023188,0.03722466070109449,0.1028169790154219,0.03989241734766288,0.04955730863613267,0.03741920012361329,0.03805069068233724,0.07805981709062439,0.007128253215570308,0.05639143892638829,,,,,,,
3,,SHAP FuzzyCMeans,0.07632572117479719,0.3622182488859724,0.01440908396592831,0.0670878093182251,0.01532420559641474,0.0164417143477083,0.01529435183392345,0.00849794865992999,0.03051052780934167,0.004576421478808039,0.05009553524391365,,,,,,,
4,,PFBI KMeans,0.1783230092480609,0.431299857033643,0.04100797057169873,0.06220996108768514,0.04494178601800033,0.04910535874118663,0.03941004314451713,0.03267840637499116,0.07722716236845123,0.01323243502599568,0.03056401038577002,,,,,,,
